	shannon_entropy
sample-1	6.624609944343079
sample-10	7.808953963630365
sample-2	7.618198237542115
sample-3	8.205985440962174
sample-4	4.618825236408819
sample-5	7.138759036782069
sample-6	7.7077013710241
sample-7	7.264910276872061
sample-8	5.266076418048639
sample-9	8.64040286203412
